TrialIndex,Subject,Congruence,ResponseTime,Correct
3201,12,2,379,1
3202,12,2,599,1
3203,12,1,489,1
3204,12,1,473,1
3205,12,2,473,0
3206,12,2,493,1
3207,12,2,492,1
3208,12,2,411,1
3209,12,1,549,1
3210,12,1,530,1
3211,12,2,423,1
3212,12,2,393,1
3213,12,1,396,1
3214,12,2,471,1
3215,12,2,463,1
3216,12,1,383,1
3217,12,2,426,1
3218,12,1,436,1
3219,12,2,501,1
3220,12,2,452,1
3221,12,1,445,1
3222,12,2,445,1
3223,12,1,446,1
3224,12,1,455,1
3225,12,1,431,1
3226,12,2,489,1
3227,12,1,784,1
3228,12,1,387,1
3229,12,1,455,1
3230,12,1,447,1
3231,12,2,416,1
3328,12,1,394,1
3329,12,1,420,1
3330,12,2,446,1
3331,12,2,415,1
3332,12,1,433,1
3333,12,2,354,0
3334,12,2,388,1
3335,12,2,487,1
3336,12,2,510,1
3337,12,1,396,1
3338,12,2,439,1
3339,12,2,496,1
3340,12,2,535,1
3341,12,1,524,1
3342,12,1,466,1
3343,12,1,386,1
3344,12,2,510,1
3345,12,2,564,1
3346,12,1,408,1
3347,12,2,442,1
3348,12,2,524,1
3349,12,1,386,1
3350,12,1,389,1
3351,12,2,456,1
3352,12,1,417,1
3353,12,1,419,1
3354,12,1,429,1
3355,12,1,406,1
3356,12,2,480,1
3357,12,1,335,1
3358,12,2,461,1
3359,12,1,373,1
3456,12,2,665,1
3457,12,1,441,1
3458,12,2,530,1
3459,12,1,447,1
3460,12,1,416,1
3461,12,2,393,1
3462,12,2,380,1
3463,12,2,487,1
3464,12,2,526,1
3465,12,2,548,1
3466,12,2,449,1
3467,12,2,473,1
3468,12,1,417,1
3469,12,1,419,1
3470,12,1,421,1
3471,12,1,487,1
3472,12,2,399,1
3473,12,2,417,1
3474,12,2,419,1
3475,12,2,485,0
3476,12,1,481,1
3477,12,1,424,1
3478,12,2,386,1
3479,12,1,382,1
3480,12,1,393,1
3481,12,1,476,1
3482,12,1,420,1
3483,12,2,526,1
3484,12,1,484,1
3485,12,1,443,1
3486,12,2,436,1
3487,12,1,485,1
3808,13,1,395,1
3809,13,1,357,1
3810,13,2,506,1
3811,13,1,465,1
3812,13,2,497,1
3813,13,2,478,1
3814,13,1,399,1
3815,13,2,400,1
3816,13,2,395,1
3817,13,1,366,1
3818,13,2,402,0
3819,13,2,473,1
3820,13,1,305,1
3821,13,1,431,1
3822,13,1,401,1
3823,13,1,371,1
3824,13,2,423,1
3825,13,2,377,1
3826,13,2,365,1
3827,13,2,377,1
3828,13,1,444,1
3829,13,2,437,1
3830,13,1,406,1
3831,13,1,473,1
3832,13,2,521,1
3833,13,1,423,1
3834,13,1,393,1
3835,13,2,443,1
3836,13,1,372,1
3837,13,1,472,1
3838,13,2,504,1
3839,13,2,527,1
3936,13,2,574,1
3937,13,1,402,1
3938,13,2,501,1
3939,13,1,563,1
3940,13,2,407,1
3941,13,1,370,1
3942,13,2,406,1
3943,13,1,473,1
3944,13,1,337,1
3945,13,1,342,1
3946,13,1,371,1
3947,13,1,367,1
3948,13,2,491,1
3949,13,2,490,1
3950,13,1,370,1
3951,13,1,366,1
3952,13,2,426,1
3953,13,1,380,1
3954,13,2,439,1
3955,13,2,400,1
3956,13,2,371,1
3957,13,1,391,1
3958,13,2,666,1
3959,13,2,442,1
3960,13,1,420,1
3961,13,2,454,1
3962,13,2,423,1
3963,13,1,896,1
3964,13,2,463,1
3965,13,1,447,1
3966,13,2,464,1
3967,13,1,352,1
4064,13,2,615,1
4065,13,2,689,1
4066,13,1,376,1
4067,13,2,420,1
4068,13,1,350,1
4069,13,1,370,1
4070,13,1,382,1
4071,13,2,529,1
4072,13,2,319,1
4073,13,2,461,1
4074,13,1,509,1
4075,13,1,323,1
4076,13,2,393,1
4077,13,1,364,1
4078,13,1,424,1
4079,13,2,314,1
4080,13,2,240,0
4081,13,1,342,1
4082,13,2,427,1
4083,13,1,332,1
4084,13,1,666,1
4085,13,2,330,1
4086,13,1,423,1
4087,13,1,345,1
4088,13,2,366,0
4089,13,2,398,1
4090,13,1,417,1
4091,13,2,515,1
4092,13,2,441,1
4093,13,2,378,1
4094,13,1,350,1
4095,13,1,314,1
4192,13,2,365,1
4193,13,2,585,1
4194,13,2,604,1
4195,13,2,423,1
4196,13,1,417,1
4197,13,1,371,1
4198,13,2,415,1
4199,13,2,409,1
4200,13,2,411,1
4201,13,1,397,1
4202,13,1,408,1
4203,13,2,411,1
4204,13,1,389,1
4205,13,2,424,1
4206,13,1,426,1
4207,13,1,420,1
4208,13,1,414,1
4209,13,1,376,1
4210,13,1,404,1
4211,13,1,367,1
4212,13,2,457,1
4213,13,1,346,1
4214,13,1,391,1
4215,13,1,338,1
4216,13,2,463,1
4217,13,2,623,1
4218,13,2,433,0
4219,13,2,455,1
4220,13,2,432,1
4221,13,2,369,1
4222,13,1,453,1
4223,13,1,398,1
4320,13,2,463,1
4321,13,1,463,1
4322,13,2,711,1
4323,13,2,469,1
4324,13,2,501,1
4325,13,2,435,1
4326,13,2,436,1
4327,13,2,437,1
4328,13,1,447,1
4329,13,1,439,1
4330,13,1,473,1
4331,13,1,657,1
4332,13,2,505,1
4333,13,1,440,1
4334,13,1,417,1
4335,13,2,651,1
4336,13,1,428,1
4337,13,2,534,1
4338,13,2,507,1
4339,13,1,394,1
4340,13,2,412,1
4341,13,2,542,1
4342,13,1,492,1
4343,13,1,387,1
4344,13,2,566,1
4345,13,1,626,1
4346,13,2,452,1
4347,13,1,460,1
4348,13,1,524,1
4349,13,1,442,1
4350,13,1,468,1
4351,13,2,524,1
4448,13,2,553,1
4449,13,1,382,1
4450,13,2,449,1
4451,13,1,410,1
4452,13,2,444,1
4453,13,1,420,1
4454,13,2,414,1
4455,13,1,416,1
4456,13,2,458,1
4457,13,1,411,1
4458,13,1,453,1
4459,13,1,398,1
4460,13,1,416,1
4461,13,2,426,1
4462,13,1,428,1
4463,13,1,397,1
4464,13,2,456,1
4465,13,1,392,1
