TrialIndex,Subject,Congruence,ResponseTime,Correct
3795,13,1,303,1
3796,13,1,413,1
3797,13,1,279,1
3798,13,2,390,1
3799,13,1,578,1
3800,13,1,301,1
3801,13,1,300,1
3802,13,2,450,1
3803,13,1,651,1
3804,13,2,436,1
3805,13,2,373,1
3806,13,2,449,1
3807,13,1,370,1
3904,13,2,425,1
3905,13,2,347,1
3906,13,1,320,1
3907,13,2,293,0
3908,13,2,369,1
3909,13,2,405,1
3910,13,2,431,1
3911,13,2,505,1
3912,13,2,439,1
3913,13,1,409,1
3914,13,2,459,1
3915,13,2,436,1
3916,13,1,389,1
3917,13,2,489,1
3918,13,2,408,1
3919,13,1,531,1
3920,13,1,352,1
3921,13,1,621,1
3922,13,1,359,1
3923,13,2,419,1
3924,13,1,381,1
3925,13,1,425,1
3926,13,1,363,1
3927,13,2,558,1
3928,13,1,370,1
3929,13,1,358,1
3930,13,1,315,1
3931,13,1,321,1
3932,13,1,295,1
3933,13,2,389,1
3934,13,2,377,1
3935,13,1,316,1
4032,13,1,491,1
4033,13,1,331,1
4034,13,2,344,1
4035,13,2,573,1
4036,13,1,393,1
4037,13,1,380,1
4038,13,2,407,1
4039,13,1,426,1
4040,13,2,388,1
4041,13,2,310,1
4042,13,1,396,1
4043,13,1,303,1
4044,13,1,382,1
4045,13,2,449,1
4046,13,2,474,1
4047,13,1,450,1
4048,13,2,386,1
4049,13,2,342,1
4050,13,2,339,1
4051,13,1,400,1
4052,13,1,395,1
4053,13,1,414,1
4054,13,2,376,1
4055,13,2,388,1
4056,13,2,327,1
4057,13,2,380,1
4058,13,2,391,1
4059,13,2,467,1
4060,13,1,379,1
4061,13,1,342,1
4062,13,1,363,1
4063,13,1,359,1
4160,13,2,460,1
4161,13,2,332,1
4162,13,1,297,1
4163,13,2,496,1
4164,13,1,479,1
4165,13,1,294,1
4166,13,1,341,1
4167,13,1,266,1
4168,13,2,442,1
4169,13,2,363,1
4170,13,1,567,1
4171,13,2,411,1
4172,13,1,549,1
4173,13,2,394,1
4174,13,1,348,1
4175,13,2,449,1
4176,13,2,402,1
4177,13,2,516,1
4178,13,1,354,1
4179,13,2,327,1
4180,13,1,348,1
4181,13,1,313,1
4182,13,1,327,1
4183,13,1,364,1
4184,13,2,456,1
4185,13,2,425,1
4186,13,2,347,1
4187,13,1,368,1
4188,13,1,332,1
4189,13,2,401,1
4190,13,2,420,1
4191,13,1,462,1
4288,13,2,418,1
4289,13,1,396,1
4290,13,1,319,1
4291,13,2,317,0
4292,13,2,344,1
4293,13,1,404,1
4294,13,2,447,1
4295,13,2,424,1
4296,13,1,490,1
4297,13,1,345,1
4298,13,1,358,1
4299,13,1,434,1
4300,13,2,580,1
4301,13,2,471,1
4302,13,2,399,1
4303,13,1,418,1
4304,13,1,420,1
4305,13,2,414,1
4306,13,2,400,1
4307,13,2,402,1
4308,13,1,373,1
4309,13,1,401,1
4310,13,1,372,1
4311,13,1,359,1
4312,13,2,420,1
4313,13,2,750,1
4314,13,2,427,1
4315,13,2,452,1
4316,13,2,485,1
4317,13,1,428,1
4318,13,1,374,1
4319,13,1,322,1
4416,13,2,719,1
4417,13,2,341,1
4418,13,2,338,1
4419,13,1,488,1
4420,13,2,343,1
4421,13,2,276,1
4422,13,2,372,1
4423,13,1,376,1
4424,13,1,316,1
4425,13,1,314,1
4426,13,1,368,1
4427,13,2,459,1
4428,13,2,356,1
4429,13,1,329,1
4430,13,1,366,1
4431,13,1,298,1
4432,13,2,409,1
4433,13,2,379,1
4434,13,1,687,1
4435,13,1,438,1
4436,13,1,423,1
4437,13,1,481,1
4438,13,1,337,1
4439,13,2,517,1
4440,13,2,387,1
4441,13,2,358,1
4442,13,1,507,1
4443,13,1,338,1
4444,13,1,383,1
4445,13,2,378,1
4446,13,2,406,1
4447,13,2,352,1
4608,14,2,568,1
4609,14,1,420,1
4610,14,1,574,1
4611,14,1,498,1
4612,14,2,601,1
4613,14,1,531,1
4614,14,1,505,1
4615,14,1,543,1
4616,14,2,564,1
4617,14,1,648,1
4618,14,2,609,1
4619,14,2,644,1
4620,14,1,524,1
4621,14,2,706,1
4622,14,2,649,1
4623,14,1,530,1
4624,14,2,639,1
4625,14,2,609,1
4626,14,1,475,1
4627,14,2,619,1
4628,14,1,534,1
4629,14,2,587,1
4630,14,1,630,1
4631,14,1,520,1
4632,14,2,622,1
4633,14,2,768,1
4634,14,2,620,1
4635,14,1,814,1
4636,14,2,952,1
4637,14,1,597,1
4638,14,1,568,1
4639,14,2,580,1
4736,14,1,560,1
4737,14,1,476,1
4738,14,1,619,1
4739,14,2,605,1
4740,14,1,584,1
4741,14,1,571,1
4742,14,1,527,1
4743,14,2,613,1
4744,14,1,439,1
4745,14,2,528,1
4746,14,2,670,1
4747,14,1,478,1
4748,14,2,581,1
4749,14,1,464,1
4750,14,1,512,1
4751,14,2,606,1
4752,14,1,673,1
4753,14,2,969,1
4754,14,1,997,1
4755,14,1,552,1
4756,14,2,573,1
4757,14,2,1289,1
4758,14,1,449,1
4759,14,2,473,1
4760,14,2,537,1
4761,14,2,615,1
4762,14,2,689,1
4763,14,1,672,1
4764,14,2,816,1
4765,14,2,586,1
4766,14,1,510,1
4767,14,2,444,1
4864,14,1,612,1
4865,14,1,350,1
4866,14,2,426,0
4867,14,2,568,1
4868,14,1,668,1
4869,14,1,556,1
4870,14,2,625,1
4871,14,2,491,1
4872,14,2,603,1
4873,14,1,477,1
4874,14,2,541,1
4875,14,2,658,1
4876,14,1,763,1
4877,14,1,439,1
4878,14,2,712,1
4879,14,2,566,1
4880,14,1,506,0
4881,14,1,518,1
4882,14,1,508,1
4883,14,2,610,1
4884,14,1,436,1
4885,14,1,454,1
4886,14,1,550,1
